sequence,date,point_type,event,engine_equity,cash,positions_value,spx_close,spx_benchmark_equity,daily_return_pct,spx_day_return_pct,drawdown_pct,exposure_pct,open_positions_count,pending_orders_count,market_gate_state,spx_regime,settlement_delta_from_last_regular_eod
1136,2025-12-17,REGULAR_EOD,EOD_MARK_TO_MARKET,238477.88,18810.56,219667.32,6721.43,158246.614431,0.7932,-1.1592,13.8353,92.11,3,0,RISK_OFF,UPTREND,
1137,2025-12-18,REGULAR_EOD,EOD_MARK_TO_MARKET,242786.92,18810.56,223976.36,6774.76,159502.194263,1.8069,0.7934,12.2784,92.25,3,0,RISK_OFF,UPTREND,
1138,2025-12-19,REGULAR_EOD,EOD_MARK_TO_MARKET,248422.11,18810.56,229611.55,6834.5,160908.688528,2.321,0.8818,10.2424,92.43,3,0,ALLOW,UPTREND,
1139,2025-12-22,REGULAR_EOD,EOD_MARK_TO_MARKET,250004.2,18810.56,231193.64,6878.49,161944.371198,0.6369,0.6436,9.6707,92.48,3,0,ALLOW,UPTREND,
1140,2025-12-23,REGULAR_EOD,EOD_MARK_TO_MARKET,249948.34,18810.56,231137.78,6909.79,162681.285669,-0.0223,0.455,9.6909,92.47,3,0,ALLOW,UPTREND,
1141,2025-12-24,REGULAR_EOD,EOD_MARK_TO_MARKET,251291.51,18810.56,232480.96,6932.05,163205.366056,0.5374,0.3221,9.2056,92.51,3,0,ALLOW,UPTREND,
1142,2025-12-26,REGULAR_EOD,EOD_MARK_TO_MARKET,253149.44,18810.56,234338.88,6929.94,163155.689074,0.7394,-0.0304,8.5343,92.57,3,0,ALLOW,UPTREND,
1143,2025-12-29,REGULAR_EOD,EOD_MARK_TO_MARKET,249648.79,18810.56,230838.23,6905.74,162585.934116,-1.3828,-0.3492,9.7991,92.47,3,0,ALLOW,UPTREND,
1144,2025-12-30,REGULAR_EOD,EOD_MARK_TO_MARKET,245591.03,18810.56,226780.47,6896.24,162362.269979,-1.6254,-0.1376,11.2653,92.34,3,0,ALLOW,UPTREND,
1145,2025-12-31,REGULAR_EOD,EOD_MARK_TO_MARKET,244546.24,18810.56,225735.68,6845.5,161167.668054,-0.4254,-0.7358,11.6427,92.31,3,0,ALLOW,UPTREND,
1146,2026-01-02,REGULAR_EOD,EOD_MARK_TO_MARKET,243922.31,97636.37,146285.94,6858.47,161473.028459,-0.2551,0.1895,11.8682,59.97,3,2,ALLOW,UPTREND,
1147,2026-01-05,REGULAR_EOD,EOD_MARK_TO_MARKET,244590.2,97636.37,146953.83,6902.05,162499.058256,0.2738,0.6354,11.6269,60.08,3,2,ALLOW,UPTREND,
1148,2026-01-06,REGULAR_EOD,EOD_MARK_TO_MARKET,251462.15,97636.37,153825.78,6944.82,163506.017742,2.8096,0.6197,9.144,61.17,3,1,ALLOW,UPTREND,
1149,2026-01-07,REGULAR_EOD,EOD_MARK_TO_MARKET,255503.81,97636.37,157867.43,6920.93,162943.561298,1.6073,-0.344,7.6837,61.79,3,0,ALLOW,UPTREND,
1150,2026-01-08,REGULAR_EOD,EOD_MARK_TO_MARKET,253561.79,82657.64,170904.15,6921.46,162956.039403,-0.7601,0.0077,8.3853,67.4,3,1,ALLOW,UPTREND,
1151,2026-01-09,REGULAR_EOD,EOD_MARK_TO_MARKET,250725.5,40397.34,210328.15,6966.28,164011.263255,-1.1186,0.6475,9.4101,83.89,3,2,ALLOW,UPTREND,
1152,2026-01-12,REGULAR_EOD,EOD_MARK_TO_MARKET,250081.66,40397.34,209684.32,6977.27,164270.007346,-0.2568,0.1578,9.6427,83.85,3,1,ALLOW,UPTREND,
1153,2026-01-13,REGULAR_EOD,EOD_MARK_TO_MARKET,250607.24,79096.42,171510.82,6963.74,163951.462528,0.2102,-0.1939,9.4528,68.44,3,1,ALLOW,UPTREND,
1154,2026-01-14,REGULAR_EOD,EOD_MARK_TO_MARKET,254100.23,79096.42,175003.8,6926.6,163077.053472,1.3938,-0.5333,8.1908,68.87,3,1,ALLOW,UPTREND,
1155,2026-01-15,REGULAR_EOD,EOD_MARK_TO_MARKET,250032.37,79096.42,170935.95,6944.47,163497.777485,-1.6009,0.258,9.6605,68.37,3,1,ALLOW,UPTREND,
1156,2026-01-16,REGULAR_EOD,EOD_MARK_TO_MARKET,245412.5,79096.42,166316.08,6940.01,163392.773059,-1.8477,-0.0642,11.3298,67.77,3,1,ALLOW,UPTREND,
1157,2026-01-20,REGULAR_EOD,EOD_MARK_TO_MARKET,245104.72,116465.96,128638.76,6796.86,160022.507675,-0.1254,-2.0627,11.441,52.48,2,1,RISK_OFF,UPTREND,
1158,2026-01-21,REGULAR_EOD,EOD_MARK_TO_MARKET,248516.69,155322.15,93194.54,6875.62,161876.801085,1.392,1.1588,10.2082,37.5,2,1,ALLOW,UPTREND,
1159,2026-01-22,REGULAR_EOD,EOD_MARK_TO_MARKET,248283.98,46089.11,202194.87,6913.35,162765.100861,-0.0936,0.5488,10.2923,81.44,3,3,ALLOW,UPTREND,
1160,2026-01-23,REGULAR_EOD,EOD_MARK_TO_MARKET,249532.18,46089.11,203443.06,6915.61,162818.309382,0.5027,0.0327,9.8413,81.53,3,0,ALLOW,UPTREND,
1161,2026-01-26,REGULAR_EOD,EOD_MARK_TO_MARKET,249335.24,46089.11,203246.13,6950.23,163633.388582,-0.0789,0.5006,9.9124,81.52,3,0,ALLOW,UPTREND,
1162,2026-01-27,REGULAR_EOD,EOD_MARK_TO_MARKET,253589.6,4535.09,249054.51,6978.6,164301.320325,1.7063,0.4082,8.3753,98.21,3,1,ALLOW,UPTREND,
1163,2026-01-28,REGULAR_EOD,EOD_MARK_TO_MARKET,250406.74,4535.09,245871.65,6978.03,164287.900477,-1.2551,-0.0082,9.5253,98.19,3,1,ALLOW,UPTREND,
1164,2026-01-29,REGULAR_EOD,EOD_MARK_TO_MARKET,246405.92,4535.09,241870.83,6969.01,164075.537265,-1.5977,-0.1293,10.9708,98.16,3,0,ALLOW,UPTREND,
1165,2026-01-30,REGULAR_EOD,EOD_MARK_TO_MARKET,236427.96,43049.08,193378.87,6939.03,163369.700337,-4.0494,-0.4302,14.576,81.79,3,1,ALLOW,UPTREND,
1166,2026-02-02,REGULAR_EOD,EOD_MARK_TO_MARKET,235670.33,78916.13,156754.21,6976.44,164250.466163,-0.3204,0.5391,14.8497,66.51,3,2,ALLOW,UPTREND,
1167,2026-02-03,REGULAR_EOD,EOD_MARK_TO_MARKET,229410.89,78916.13,150494.76,6917.81,162870.105287,-2.656,-0.8404,17.1113,65.6,3,2,ALLOW,UPTREND,
1168,2026-02-04,REGULAR_EOD,EOD_MARK_TO_MARKET,220673.91,147133.55,73540.36,6882.72,162043.960597,-3.8084,-0.5072,20.2681,33.33,1,2,ALLOW,UPTREND,
1169,2026-02-05,REGULAR_EOD,EOD_MARK_TO_MARKET,218330.56,146197.39,72133.17,6798.4,160058.764809,-1.0619,-1.2251,21.1148,33.04,1,2,RISK_OFF,UPTREND,
1170,2026-02-06,REGULAR_EOD,EOD_MARK_TO_MARKET,219399.95,146197.39,73202.56,6932.3,163211.251954,0.4898,1.9696,20.7284,33.36,1,0,ALLOW,UPTREND,
1171,2026-02-09,REGULAR_EOD,EOD_MARK_TO_MARKET,217770.54,73064.08,144706.47,6964.82,163976.889609,-0.7427,0.4691,21.3171,66.45,2,1,ALLOW,UPTREND,
1172,2026-02-10,REGULAR_EOD,EOD_MARK_TO_MARKET,218432.6,73064.08,145368.52,6941.81,163435.151527,0.304,-0.3304,21.0779,66.55,2,0,ALLOW,UPTREND,
1173,2026-02-11,REGULAR_EOD,EOD_MARK_TO_MARKET,220749.42,73064.08,147685.35,6941.47,163427.146705,1.0607,-0.0049,20.2408,66.9,2,0,ALLOW,UPTREND,
1174,2026-02-12,REGULAR_EOD,EOD_MARK_TO_MARKET,219533.05,73064.08,146468.97,6832.76,160867.722675,-0.551,-1.5661,20.6803,66.72,2,0,RISK_OFF,UPTREND,
1175,2026-02-13,REGULAR_EOD,EOD_MARK_TO_MARKET,221742.22,73064.08,148678.14,6836.17,160948.006329,1.0063,0.0499,19.8821,67.05,2,0,RISK_OFF,UPTREND,
1176,2026-02-17,REGULAR_EOD,EOD_MARK_TO_MARKET,220820.88,73064.08,147756.81,6843.22,161113.988661,-0.4155,0.1031,20.215,66.91,2,0,RISK_OFF,UPTREND,
1177,2026-02-18,REGULAR_EOD,EOD_MARK_TO_MARKET,223026.79,73064.08,149962.71,6881.31,162010.764131,0.999,0.5566,19.418,67.24,2,0,RISK_OFF,UPTREND,
1178,2026-02-19,REGULAR_EOD,EOD_MARK_TO_MARKET,223406.26,73064.08,150342.18,6861.89,161553.547549,0.1701,-0.2822,19.2809,67.3,2,0,RISK_OFF,UPTREND,
1179,2026-02-20,REGULAR_EOD,EOD_MARK_TO_MARKET,224010.43,73064.08,150946.36,6909.51,162674.693462,0.2704,0.694,19.0626,67.38,2,0,ALLOW,UPTREND,
